"obligations_incurred_by_program_object_class_cpe","reporting_period_start","budget_function_code","budget_function_title","budget_subfunction_code","budget_subfunction_title","major_object_class","major_object_class_name","object_class","object_class_name"
16551790.41,"2018-04-01","570","Medicare","571","Medicare","10","Personnel compensation and benefits","121","Civilian personnel benefits"
36983988.92,"2018-04-01","300","Natural Resources and Environment","302","Conservation and land management","20","Contractual services and supplies","220","Transportation of things"
5069167.33,"2018-04-01","500","Education, Training, Employment, and Social Services","505","Other labor services","20","Contractual services and supplies","260","Supplies and materials"
31178930.92,"2018-04-01","150","International Affairs","151","International development and humanitarian assistance","20","Contractual services and supplies","254","Operation and maintenance of facilities"
10273443.77,"2018-04-01","370","Commerce and Housing Credit","376","Other advancement of commerce","20","Contractual services and supplies","220","Transportation of things"
33028757.87,"2018-04-01","750","Administration of Justice","751","Federal law enforcement activities","40","Grants and fixed charges","420","Insurance claims and indemnities"
16799586.23,"2018-04-01","400","Transportation","407","Other transportation","20","Contractual services and supplies","210","Travel and transportation of persons"
173750564.33,"2018-04-01","250","General Science, Space, and Technology","251","General science and basic research","30","Acquisition of assets","310","Equipment"
107429.03,"2018-04-01","500","Education, Training, Employment, and Social Services","506","Social services","40","Grants and fixed charges","420","Insurance claims and indemnities"
7761350.09,"2018-04-01","800","General Government","808","Other general government","20","Contractual services and supplies","231","Rental payments to GSA"
10958546.59,"2018-04-01","300","Natural Resources and Environment","304","Pollution control and abatement","30","Acquisition of assets","320","Land and structures"
66326.98,"2018-04-01","270","Energy","274","Emergency energy preparedness","20","Contractual services and supplies","220","Transportation of things"
396559.72,"2018-04-01","550","Health","552","Health research and training","20","Contractual services and supplies","256","Medical care"
325554814.53,"2018-04-01","300","Natural Resources and Environment","303","Recreational resources","10","Personnel compensation and benefits","121","Civilian personnel benefits"
954406406.33,"2018-04-01","500","Education, Training, Employment, and Social Services","503","Research and general education aids","40","Grants and fixed charges","410","Grants, subsidies, and contributions"
18442802.53,"2018-04-01","300","Natural Resources and Environment","301","Water resources","20","Contractual services and supplies","210","Travel and transportation of persons"
3671413.56,"2018-04-01","250","General Science, Space, and Technology","252","Space flight, research, and supporting activities","20","Contractual services and supplies","240","Printing and reproduction"
3951494.85,"2018-04-01","550","Health","552","Health research and training","20","Contractual services and supplies","231","Rental payments to GSA"
471289.09,"2018-04-01","270","Energy","276","Energy information, policy, and regulation","10","Personnel compensation and benefits","118","Special personal services payments"
729547.71,"2018-04-01","600","Income Security","609","Other income security","10","Personnel compensation and benefits","117","Military personnel"
93933865.87,"2018-04-01","750","Administration of Justice","751","Federal law enforcement activities","20","Contractual services and supplies","220","Transportation of things"
197611182.22,"2018-04-01","450","Community and Regional Development","453","Disaster relief and insurance","10","Personnel compensation and benefits","113","Other than full-time permanent"
49316896.14,"2018-04-01","050","National Defense","054","Defense-related activities","00","Unknown","000",""
62769678.46,"2018-04-01","300","Natural Resources and Environment","304","Pollution control and abatement","20","Contractual services and supplies","257","Operation and maintenance of equipment"
883357.52,"2018-04-01","750","Administration of Justice","754","Criminal justice assistance","20","Contractual services and supplies","220","Transportation of things"
595544944.27,"2018-04-01","650","Social Security","651","Social security","20","Contractual services and supplies","253","Other goods and services from Federal sources"
29407165.97,"2018-04-01","800","General Government","803","Central fiscal operations","90","Other","910","Unvouchered"
996652963.3,"2018-04-01","700","Veterans Benefits and Services","703","Hospital and medical care for veterans","20","Contractual services and supplies","210","Travel and transportation of persons"
398155298.66,"2018-04-01","800","General Government","804","General property and records management","10","Personnel compensation and benefits","121","Civilian personnel benefits"
