"Agency","Subagency","Title","federal_account_id","q","fy","reporting_period_end","Obligation","Unobligated"
"Office of Personnel Management","Office of Personnel Management (no sub-agencies)","Government Payment for Annuitants, Employees' Health Benefits, Office of Personnel Management",4570,"4","2017","2017-09-30",12653763035.66,0
"Office of Personnel Management","Office of Personnel Management (no sub-agencies)","OPM Building Delegation Fund, Office of Personnel Management",4573,"4","2017","2017-09-30",9495271.75,5526440.97
"Office of Personnel Management","Office of Personnel Management (no sub-agencies)","Payment to Civil Service Retirement and Disability Fund, Office of Personnel Management",4569,"4","2017","2017-09-30",40635717062,0
"Office of Personnel Management","Office of Personnel Management (no sub-agencies)","Postal Service Contributions for Retiree Health Benefits, Office of Personnel Management",4576,"4","2017","2017-09-30",3450031248.35,0
"Office of Personnel Management","Office of Personnel Management (no sub-agencies)","Retired Employees' Health Benefits Fund, Office of Personnel Management",4583,"4","2017","2017-09-30",344191.3,2431470.73
"Office of Personnel Management","Office of Personnel Management (no sub-agencies)","Revolving Fund, Undistributed SIBAC Chargebacks for Washington, DC, Office of Personnel Management",4575,"4","2017","2017-09-30",1513500557.07,1125339497.46
"Office of Personnel Management","Office of Personnel Management (no sub-agencies)","Salaries and Expenses, Office of Inspector General, Office of Personnel Management",4571,"4","2017","2017-09-30",29005168.04,4854332.4
"Office of Personnel Management","Office of Personnel Management (no sub-agencies)","Salaries and Expenses, Office of Personnel Management",4568,"4","2017","2017-09-30",421484691.89,95351307.4
"Small Business Administration","Small Business Administration (no sub-agencies)","Business Assistance Trust Fund, Small Business Administration",5388,"4","2017","2017-09-30",12908.86,272459.77
"Small Business Administration","Small Business Administration (no sub-agencies)","Business Loan and Investment Fund, Liquidating Account, Small Business Administration",5384,"4","2017","2017-09-30",2705004.65,0
"Small Business Administration","Small Business Administration (no sub-agencies)","Business Loans Program Account - Recovery Act, Small Business Administration",5381,"4","2017","2017-09-30",20042247,0
"Small Business Administration","Small Business Administration (no sub-agencies)","Business Loans Program Account, Small Business Administration",5380,"4","2017","2017-09-30",776228182,67208897.04
"Small Business Administration","Small Business Administration (no sub-agencies)","Disaster Loan Fund, Liquidating Account, Small Business Administration",5383,"4","2017","2017-09-30",185643.71,0
"Small Business Administration","Small Business Administration (no sub-agencies)","Disaster Loans Program Account, Small Business Administration",5379,"4","2017","2017-09-30",582116384.89,687507240.26
"Small Business Administration","Small Business Administration (no sub-agencies)","Entrepreneurial Development Programs, Small Business Administration",5378,"4","2017","2017-09-30",226568912.2,41938322.25
"Small Business Administration","Small Business Administration (no sub-agencies)","Office of Advocacy, Small Business Administration",5377,"4","2017","2017-09-30",8113497.92,1971528.88
"Small Business Administration","Small Business Administration (no sub-agencies)","Office of Inspector General - Recovery Act, Small Business Administration",5376,"4","2017","2017-09-30",0,900862.74
"Small Business Administration","Small Business Administration (no sub-agencies)","Office of Inspector General, Small Business Administration",5375,"4","2017","2017-09-30",20875444.22,11754680.39
"Small Business Administration","Small Business Administration (no sub-agencies)","Salaries and Expenses, Small Business Administration",5373,"4","2017","2017-09-30",681566026.25,419848935.12
"Small Business Administration","Small Business Administration (no sub-agencies)","Surety Bond Guarantees Revolving Fund - Recovery Act, Small Business Administration",5386,"4","2017","2017-09-30",20598.98,15556480.37
"Small Business Administration","Small Business Administration (no sub-agencies)","Surety Bond Guarantees Revolving Fund, Small Business Administration",5385,"4","2017","2017-09-30",15522309.11,76390730.56
"Social Security Administration","Social Security Administration (no sub-agencies)","Administrative Costs, The Medicare Improvements for Patients and Providers Act, Social Security Administration",4606,"4","2017","2017-09-30",0,14895521.53
"Social Security Administration","Social Security Administration (no sub-agencies)","Administrative Expenses, Children's Health Insurance Program, Social Security Administration",4607,"4","2017","2017-09-30",15708.92,2015000.08
"Social Security Administration","Social Security Administration (no sub-agencies)","Federal Disability Insurance Trust Fund - Treasury Managed, Social Security Administration",4617,"4","2017","2017-09-30",144974527608.98,0
"Social Security Administration","Social Security Administration (no sub-agencies)","Federal Old-Age and Survivors Insurance Trust Fund - Treasury Managed, Social Security Administration",4616,"4","2017","2017-09-30",801604150377.13,0
"Social Security Administration","Social Security Administration (no sub-agencies)","Limitation on Administrative Expenses - Recovery Act, Social Security Administration",4608,"4","2017","2017-09-30",0,0
"Social Security Administration","Social Security Administration (no sub-agencies)","Office of the Inspector General, Social Security Administration",4601,"4","2017","2017-09-30",105951870.25,3430706.93
"Social Security Administration","Social Security Administration (no sub-agencies)","Payments for Credits Against Social Security Contributions, Social Security Administration",4611,"4","2017","2017-09-30",29216.12,0
"Social Security Administration","Social Security Administration (no sub-agencies)","Payments to Social Security Trust Funds, Social Security Administration",4604,"4","2017","2017-09-30",37387187477.57,69360427.32
"Social Security Administration","Social Security Administration (no sub-agencies)","Salaries and Expenses, Social Security Administration",4618,"4","2017","2017-09-30",12406239952.59,798963264.36
"Social Security Administration","Social Security Administration (no sub-agencies)","Special Benefits for Certain World War II Veterans, Social Security Administration",4602,"4","2017","2017-09-30",2878593.7,0
"Social Security Administration","Social Security Administration (no sub-agencies)","State Supplemental Fees, Social Security Administration",4612,"4","2017","2017-09-30",122212686.51,0
"Social Security Administration","Social Security Administration (no sub-agencies)","Supplemental Security Income Program, Social Security Administration",4605,"4","2017","2017-09-30",62543627306.3,4603202377.54
"US Agencies - Non-CFO Act","Access Board","Salaries and Expenses, Access Board",6089,"4","2017","2017-09-30",8032630.12,1047691.62
"US Agencies - Non-CFO Act","Administrative Conference of the United States","Salaries and Expenses, Administrative Conference of the United States",6078,"4","2017","2017-09-30",3498033.4,344114.72
"US Agencies - Non-CFO Act","African Development Foundation","African Development Foundation, Funds Appropriated to the President",3352,"4","2017","2017-09-30",30907400.8,3432034.13
"US Agencies - Non-CFO Act","African Development Foundation","Gifts and Donations, African Development Foundation",3402,"4","2017","2017-09-30",2824329.48,1697320.92
"US Agencies - Non-CFO Act","Appalachian Regional Commission","Appalachian Regional Development Programs, Appalachian Regional Commission",6083,"4","2017","2017-09-30",170938421.75,68965452.59
"US Agencies - Non-CFO Act","Barry Goldwater Scholarship and Excellence in Education Foundation","Trust Fund, the Barry Goldwater Scholarship and Excellence in Education Fund",6090,"4","2017","2017-09-30",2678904.94,29706185.83
"US Agencies - Non-CFO Act","Broadcasting Board of Governors","Broadcasting Capital Improvements, Broadcasting Board of Governors",6243,"4","2017","2017-09-30",7341052.56,9689625.52
"US Agencies - Non-CFO Act","Broadcasting Board of Governors","Broadcasting to Cuba, Broadcasting Board of Governors",6245,"4","2017","2017-09-30",0,28143.75
"US Agencies - Non-CFO Act","Broadcasting Board of Governors","Buying Power Maintenance, Broadcasting Board of Governors",6246,"4","2017","2017-09-30",0,6642103
"US Agencies - Non-CFO Act","Broadcasting Board of Governors","Foreign Service National Separation Liability Trust Fund, Broadcasting Board of Governors",6251,"4","2017","2017-09-30",472215.44,6374452.09
"US Agencies - Non-CFO Act","Broadcasting Board of Governors","International Broadcasting Operations, Broadcasting Board of Governors",6244,"4","2017","2017-09-30",784754428.46,34012454.26
"US Agencies - Non-CFO Act","Broadcasting Board of Governors","Miscellaneous Trust Fund, Broadcasting Board of Governors",6252,"4","2017","2017-09-30",0,293174.07
"US Agencies - Non-CFO Act","Bureau of Consumer Financial Protection","Bureau of Consumer Financial Protection Fund, Bureau of Consumer Financial Protection",6275,"4","2017","2017-09-30",593525720.47,177095424.06
"US Agencies - Non-CFO Act","Bureau of Consumer Financial Protection","Consumer Financial Civil Penalty Fund, Bureau of Consumer Financial Protection",6276,"4","2017","2017-09-30",262480735.11,215833293.32
