"Agency","Subagency","accountID","Title","Obligation","Unobligated","federal_account_id"
"Department of Agriculture","Office of the Secretary",280,"Office of the Assistant Secretary for Civil Rights, Agriculture",47621.27,673993.64,3431
"Department of Agriculture","Office of the Secretary",279,"Office of the Under Secretary for Food, Nutrition and Consumer Services, Agriculture",234970.32,552347.16,3430
"Department of Agriculture","Office of the Secretary",278,"Office of the Assistant Secretary for Natural Resources and Environment, Agriculture",52022.89,769151.23,3429
"Department of Agriculture","Office of the Secretary",277,"Office of the Under Secretary for Rural Development, Agriculture",1056727.92,314872.32,3428
"Department of Agriculture","Office of the Secretary",276,"Office of the Under Secretary for Farm and Foreign Agricultural Services, Agriculture",402332.05,305713.87,3427
"Department of Agriculture","Office of the Secretary",275,"Office of the Under Secretary for Marketing and Regulatory Programs, Cooperative State Research, Education, and Extension Service, Agriculture",400089.88,443495.55,3426
"Department of Agriculture","Office of the Secretary",274,"Office of the Under Secretary for Research, Education and Economics, Agriculture",1148744.78,1495715.77,3425
"Department of Agriculture","Executive Operations",273,"Office of the Chief Economist, Executive Operations, Agriculture",5629406.15,7892790.54,3424
"Department of Agriculture","Office of the Secretary",272,"Office of the Assistant Secretary for Governmental and Public Affairs, Agriculture",0,142837.55,3423
"Department of Agriculture","Office of the Secretary",271,"Office of the Assistant Secretary for Administration, Agriculture",0,4846.37,3422
"Department of Agriculture","Office of the Secretary",270,"Departmental Administration, Agriculture",0.02,79592.29,3421
"Department of Agriculture","Buildings and Facilities",269,"Agriculture Buildings and Facilities, Agriculture",31144932.8,61397108.06,3420
"Department of Agriculture","Office of the Secretary",268,"Production, Processing and Marketing, Office of the Secretary, Agriculture",51588886.54,40666903.4,3419
"Department of Agriculture","Executive Operations",267,"Expenses, Common Computing Environment, Agriculture",0,35128.15,3418
"Department of Agriculture","Office of the Secretary",266,"Homeland Security Staff, Agriculture",0,5962.28,3416
"Department of Agriculture","Office of Chief Financial Officer",264,"Expenses, Office of the Chief Financial Officer, Agriculture",3096227.4,1598889.09,3414
"Department of Agriculture","Office of Chief Information Officer",263,"Expenses, Office of the Chief Information Officer, Agriculture",18419436.26,18148915.27,3413
"Department of State","Other",207,"International Narcotics Control and Law Enforcement, International Security Assistance, State",116505807,1826118669,3356
"Department of State","Other",176,"United States Emergency Refugee and Migration Assistance Fund, Funds Appropriated to the President, Executive Office of the President",0,107542495.6,3323
"US Agencies - Non-CFO Act","Government Accountability Office",114,"Salaries and Expenses, Government Accountability Office",319608196.8,329758530.5,3255
"US Agencies - Non-CFO Act","Legislative Branch Boards and Commissions",122,"International Conferences and Contingencies, House and Senate   Expenses",100000,1663227.47,3264
"US Agencies - Non-CFO Act","Courts of Appeals, District Courts, and Other Judicial Services",146,"Court Security, Court of Appeals, District Courts, and Other Judicial Services, The Judiciary",335102663.5,122000966.6,3292
"US Agencies - Non-CFO Act","Executive Office of the President",166,"Compensation of the President, Executive Office of the President",206017.5,438217.16,3313
"US Agencies - Non-CFO Act","Executive Office of the President",170,"Data-Driven Innovation, Funds Appropriated to the President, Executive Office of the President",1323.76,955688.08,3317
"US Agencies - Non-CFO Act","Executive Office of the President",172,"Partnership Fund for Program Integrity Innovation, Funds Appropriated to the President, Executive Office of the President",0,1205051.74,3319
"US Agencies - Non-CFO Act","Executive Office of the President",173,"Information Technology Oversight and Reform, Funds Appropriated to the President, Executive Office of the President",15584069.87,20784181.94,3320
"US Agencies - Non-CFO Act","Executive Office of the President",174,"Unanticipated Needs, Executive Office of the President",0,4662052.7,3321
"US Agencies - Non-CFO Act","Executive Office of the President",175,"Salaries and Expenses, Office of Administration, Executive",49670035.77,75563071.99,3322
"US Agencies - Non-CFO Act","Other International Assistance Programs",177,"Global Environment Facility, Funds Appropriated to the President",0,80865180,3325
"US Agencies - Non-CFO Act","Other International Assistance Programs",178,"Contribution to the Asian Development Fund, Funds Appropriated to the President",0,47395000,3326
"US Agencies - Non-CFO Act","Other International Assistance Programs",180,"Contribution to the Inter-American Development Bank, Funds Appropriated to the President",0,3797782687,3328
"US Agencies - Non-CFO Act","Other International Assistance Programs",181,"Contribution to the International Development Association, Funds Appropriated to the President",0,656969711,3329
"US Agencies - Non-CFO Act","Other International Assistance Programs",183,"Contribution to the Asian Development Bank, Funds Appropriated to the President",0,748095669.5,3331
"US Agencies - Non-CFO Act","Other International Assistance Programs",184,"Contribution to the International Bank for Reconstruction and Development, Funds Appropriated to the President",0,7663345500,3332
"US Agencies - Non-CFO Act","Other International Assistance Programs",185,"Contribution to the International Finance Corporation, Funds Appropriated to the President",0,1367,3333
"US Agencies - Non-CFO Act","Other International Assistance Programs",186,"Contribution to the African Development Fund, Funds Appropriated to the President",0,115559072,3334
"US Agencies - Non-CFO Act","Other International Assistance Programs",188,"Contribution to the African Development Bank, Funds Appropriated to the President",0,18013472,3336
"US Agencies - Non-CFO Act","Other International Assistance Programs",189,"Contribution to the Multilateral Investment Guarantee Agency, Funds Appropriated to the President",0,0,3337
"US Agencies - Non-CFO Act","Other International Assistance Programs",191,"Contribution to the European Bank for Reconstruction and Development, Funds Appropriated to the President",10500000,0,3339
"US Agencies - Non-CFO Act","Other International Assistance Programs",193,"Debt Restructuring, Funds Appropriated to the President",0,1128921.43,3342
"US Agencies - Non-CFO Act","Peace Corps",194,"Peace Corps, Funds Appropriated to the President",177016663.5,114218628.2,3343
"US Agencies - Non-CFO Act","International Assistance Programs, Peace Corps",195,"Foreign Currency Fluctuations, Peace Corps",0,5500000,3344
"US Agencies - Non-CFO Act","Executive Office of the President",196,"Presidential Transition Administrative Support, Executive Office of the President",15888.24,662055.63,3345
"US Agencies - Non-CFO Act","Executive Office of the President",198,"Salaries and Expenses, the White House, Executive Office of the President",28382260.32,34021660.47,3347
"US Agencies - Non-CFO Act","Executive Office of the President",200,"Operating Expenses, Official Residence of the Vice President, Executive Office of the President",93481.77,532728.29,3349
"US Agencies - Non-CFO Act","Executive Office of the President",201,"Salaries and Expenses, Office of Management and Budget, Executive Office of the President",53581878.47,51982509.62,3350
"US Agencies - Non-CFO Act","Executive Office of the President",202,"Salaries and Expenses, Office of the United States Trade Representative, Executive Office of the President",30913954.04,39834533.19,3351
"US Agencies - Non-CFO Act","African Development Foundation",203,"African Development Foundation, Funds Appropriated to the President",7674003.46,12812870.58,3352
"US Agencies - Non-CFO Act","Trade and Development Agency",204,"Trade and Development Agency, Funds Appropriated to the President",17025423.74,41356163.17,3353
"US Agencies - Non-CFO Act","Other International Assistance Programs",205,"International Organizations and Programs, Economic Assistance, Funds Appropriated to the President",0,-1694744.51,3354
"US Agencies - Non-CFO Act","Other International Assistance Programs",206,"Contribution to the North American Development Bank, Funds Appropriated to the President",0,10000000,3355
"US Agencies - Non-CFO Act","Other International Assistance Programs",208,"Peacekeeping Operations, Funds Appropriated to the President",59727032.85,922782721.4,3357
"US Agencies - Non-CFO Act","Other International Assistance Programs",209,"Contribution to the International Fund for Agricultural Development, Funds Appropriated to the President",0,16669879,3358
"US Agencies - Non-CFO Act","Other International Assistance Programs",211,"Global Security Contingency Fund, State",1199052.55,18223513.11,3360
"US Agencies - Non-CFO Act","Other International Assistance Programs",212,"International Affairs Technical Assistance",29736332.12,62421948.63,3361
"US Agencies - Non-CFO Act","Federal Drug Control Programs",213,"High Intensity Drug Trafficking Areas Program, Funds Appropriated to the President",102184917.9,43370144.82,3362
"US Agencies - Non-CFO Act","Other International Assistance Programs",214,"Nonproliferation and Disarmament Fund, Funds Appropriated to the President",0,223436.77,3363
"US Agencies - Non-CFO Act","Other International Assistance Programs",216,"Non-Proliferation, Anti-Terrorism, Demining and Related Programs, International Security Assistance, State",161047351.2,1550256453,3365
"US Agencies - Non-CFO Act","Other International Assistance Programs",218,"Foreign Military Financing Program, Funds Appropriated to the President",17794.49,282372.53,3367
"US Agencies - Non-CFO Act","Other International Assistance Programs",219,"Pakistan Counterinsurgency Capability Fund, Funds Appropriated to the President",0,0.91,3368
